Country;Population;Continent;Total Cases;Total Deaths
Nicaragua;6762511;Latin America and the Caribbean;18434;224
Niger;25738714;Africa;8811;308
Nigeria;215077352;Africa;255468;3142
Niue;1645;Oceania;7;0
North Macedonia;2083224;Europe;306670;9228
Norway;5495449;Europe;1408708;2518
Oman;5333815;Asia;388468;4251
Pakistan;228397520;Asia;1525466;30361
Palau;18245;Oceania;4042;6
Palestine;5308883;Asia;581236;5351
Panama;4433639;Latin America and the Caribbean;765213;8170
Papua New Guinea;9243590;Oceania;42203;640
Paraguay;7285892;Latin America and the Caribbean;648353;18731
Peru;33775745;Latin America and the Caribbean;3548559;212328
Philippines;112133868;Asia;3679485;59343
Poland;37774045;Europe;5969621;115345
Portugal;10144662;Europe;3604114;21693
Qatar;2807805;Asia;361819;677
Réunion;906497;Africa;336945;709
Romania;19013049;Europe;2860094;65090
Russia;146044010;Europe;17896866;369708
Rwanda;13513881;Africa;129728;1458
S. Korea;51346429;Asia;13874216;17235
Saint Helena;6109;Africa;2;0
Saint Kitts and Nevis;53858;Latin America and the Caribbean;5549;43
Saint Lucia;185096;Latin America and the Caribbean;22964;365
Saint Martin;39820;Latin America and the Caribbean;10107;63
Saint Pierre Miquelon;5744;Northern America;1957;1
Samoa;200722;Oceania;2285;1
San Marino;34056;Europe;15181;113
Sao Tome and Principe;226281;Africa;5945;73
Saudi Arabia;35762746;Asia;751076;9048
Senegal;17515750;Africa;85919;1965
Serbia;8675762;Europe;1980722;15825
Seychelles;99413;Africa;40421;164
Sierra Leone;8260822;Africa;7674;125
Singapore;5930887;Asia;1109744;1276
Sint Maarten;43728;Latin America and the Caribbean;9766;86
Slovakia;5464272;Europe;1725487;19417
Slovenia;2079438;Europe;973892;6501
Solomon Islands;716351;Oceania;11470;133
Somalia;16668781;Africa;26400;1348
South Africa;60617532;Africa;3722954;100050
South Sudan;11423439;Africa;17278;138
Spain;46786482;Europe;11551574;102541
Sri Lanka;21570428;Asia;661991;16481
St. Barth ;9930;Latin America and the Caribbean;4150;6
St. Vincent Grenadines;111557;Latin America and the Caribbean;6746;106
Sudan;45640385;Africa;61955;4907
Suriname;595833;Latin America and the Caribbean;79232;1325
Sweden;10209507;Europe;2487852;18331
Switzerland;8765420;Europe;3490876;13715
